k_value,p_value,paa_value,max_level,ncp
8,6,4,10,14.19788594798484
8,6,5,5,10.891814804008408
8,6,5,6,12.548015130386707
8,6,5,7,11.431889120626138
8,6,5,8,11.441687048380988
8,6,5,9,12.397099368658663
8,6,5,10,12.392745760863907
8,5,3,5,7.669909469431688
8,5,3,6,6.04912450181058
8,5,3,7,9.268741960416246
8,5,3,8,8.034373133782873
8,5,3,9,12.09279506061945
8,5,3,10,12.27454161288333
8,5,4,5,9.641060440756483
8,5,4,6,6.9577359598229185
8,5,4,7,10.030411566320296
8,5,4,8,10.843211086649816
8,5,4,9,11.572987039324827
8,5,4,10,12.013996748301476
8,5,5,5,8.54133027897873
8,5,5,6,8.489526559189791
8,5,5,7,8.929506157994968
8,5,5,8,8.986277067571539
8,5,5,9,11.557601469433271
8,5,5,10,11.537384593063605
8,4,3,5,4.948662351785379
8,4,3,6,5.616400640533805
8,4,3,7,6.620449133182041
8,4,3,8,7.792914739703462
8,4,3,9,8.419752782928027
8,4,3,10,10.186166034964758
8,4,4,5,8.020821940980532
8,4,4,6,6.333773429616945
8,4,4,7,6.106508536166186
8,4,4,8,7.581849442624475
8,4,4,9,9.253180041141732
8,4,4,10,9.669714692700946
8,4,5,5,9.010347415805677
8,4,5,6,7.234719726411458
8,4,5,7,7.697194736027746
8,4,5,8,8.263623679831317
8,4,5,9,8.813247575744823
8,4,5,10,8.813247575744823
8,3,3,5,4.208862130345927
8,3,3,6,5.1342561285916934
8,3,3,7,5.980729526196634
8,3,3,8,6.2201687022785865
8,3,3,9,7.286682352066976
8,3,3,10,7.250339069529304
8,3,4,5,5.254597216366577
8,3,4,6,5.3792980760638205
8,3,4,7,5.547717713997712
8,3,4,8,10.774359971840239
8,3,4,9,6.768586622813276
8,3,4,10,8.927917637173014
8,3,5,5,7.995495166173341
8,3,5,6,7.973782794231624
8,3,5,7,6.506063258607365
8,3,5,8,11.103630704813728
8,3,5,9,11.69513886869036
8,3,5,10,11.274524443814522
8,2,3,5,7.2547574508170865
8,2,3,6,6.668456241062518
8,2,3,7,4.446918114186247
8,2,3,8,8.589582560211994
8,2,3,9,5.483693034750038
8,2,3,10,9.058952365655694
8,2,4,5,6.863662475235879
8,2,4,6,6.935594333240854
8,2,4,7,6.537723791135386
8,2,4,8,7.606807596274584
8,2,4,9,5.483922071876084
8,2,4,10,10.064133565508843
8,2,5,5,8.271038455134308
8,2,5,6,8.038981762712178
8,2,5,7,8.588542885872112
8,2,5,8,8.806800460355852
8,2,5,9,9.365088583628008
8,2,5,10,5.618431132716243
9,8,3,5,9.788563066386704
9,8,3,6,13.252362474316623
9,8,3,7,9.943150020012238
9,8,3,8,14.072827623023896
9,8,3,9,13.329973563046025
9,8,3,10,13.866112256810533
9,8,4,5,11.935858416542136
9,8,4,6,12.091473315208427
9,8,4,7,13.750452429374961
9,8,4,8,14.62961081717274
9,8,4,9,17.32771905239058
9,8,4,10,17.32771905239058
9,8,5,5,15.00603721836447
9,8,5,6,10.892094774269191
9,8,5,7,14.054708314853073
9,8,5,8,13.766617248191512
9,8,5,9,13.844539169002323
9,8,5,10,13.844539169002323
9,7,3,5,10.94300943966514
9,7,3,6,9.550534340088785
9,7,3,7,10.488684925117944
9,7,3,8,11.042759146182858
9,7,3,9,13.414631426367258
9,7,3,10,13.473650505841686
9,7,4,5,8.822217667874545
9,7,4,6,11.606073059129479
9,7,4,7,13.282238986348533
9,7,4,8,14.103679078998363
9,7,4,9,14.275285600875094
9,7,4,10,14.275285600875094
9,7,5,5,12.086012490641377
9,7,5,6,10.548995272982294
9,7,5,7,11.914270115005692
9,7,5,8,11.873241490757366
9,7,5,9,12.906600345382168
9,7,5,10,12.906600345382168
9,6,3,5,7.498612746093287
9,6,3,6,11.517352375288352
9,6,3,7,8.65934646261904
9,6,3,8,11.2907159575016
9,6,3,9,11.527039981098886
9,6,3,10,11.566636479362943
9,6,4,5,10.856432268247206
9,6,4,6,12.10975000902304
9,6,4,7,12.043564765547693
9,6,4,8,11.823932151521284
9,6,4,9,12.542842825780902
9,6,4,10,12.542842825780902
9,6,5,5,9.743974769452683
9,6,5,6,13.101581167159413
9,6,5,7,11.392621927605866
9,6,5,8,11.383492580257027
9,6,5,9,12.670000531606425
9,6,5,10,12.670000531606425
9,5,3,5,7.7240289697853575
9,5,3,6,5.890987718310949
9,5,3,7,9.565712726561316
9,5,3,8,8.206285030123095
9,5,3,9,9.97111199262599
9,5,3,10,10.356323524205017
9,5,4,5,10.111391441626402
9,5,4,6,10.036177314010368
9,5,4,7,8.94374143171932
9,5,4,8,10.882295035688358
9,5,4,9,11.732881164237217
9,5,4,10,11.995972315154514
9,5,5,5,10.516784327395644
9,5,5,6,8.35911719648861
9,5,5,7,11.426945597365034
9,5,5,8,10.15566422012297
9,5,5,9,11.44072854972585
9,5,5,10,11.445580766893562
9,4,3,5,7.715779759231474
9,4,3,6,8.437395126363674
9,4,3,7,9.734841336873194
9,4,3,8,10.185475124107098
9,4,3,9,10.358606660737323
9,4,3,10,11.206001723957122
9,4,4,5,6.040326300300498
9,4,4,6,8.829349610798106
9,4,4,7,9.99520724960958
9,4,4,8,8.151974748741628
9,4,4,9,9.349642925661737
9,4,4,10,11.874849060694935
9,4,5,5,7.318428309733417
9,4,5,6,11.969865818099388
9,4,5,7,8.13413205128327
9,4,5,8,12.672767898489298
9,4,5,9,8.695086685004183
9,4,5,10,8.699925356258186
9,3,3,5,8.711510539659496
9,3,3,6,10.241867300274906
9,3,3,7,8.587407311001062
9,3,3,8,6.462162596331913
9,3,3,9,11.296325480907386
9,3,3,10,11.825151649560805
9,3,4,5,9.927515337763381
9,3,4,6,8.062230911456465
9,3,4,7,9.783886645136537
9,3,4,8,11.2272264333355
9,3,4,9,6.587128431881046
9,3,4,10,9.484300199848187
9,3,5,5,9.460722358821599
9,3,5,6,9.89872579541921
9,3,5,7,9.075949485266259
9,3,5,8,11.046508734665537
9,3,5,9,10.068413026717606
9,3,5,10,10.073030561957472
9,2,3,5,8.073140051698084
9,2,3,6,7.185903107732515
9,2,3,7,4.98811374259236
9,2,3,8,7.048972420288116
9,2,3,9,7.88949458754258
9,2,3,10,11.531737949179286
9,2,4,5,5.121329745279064
9,2,4,6,7.964202918132078
9,2,4,7,7.51183739104746
9,2,4,8,7.705369557758054
9,2,4,9,5.647694078680275
9,2,4,10,8.310160732083228
9,2,5,5,7.116862889242766
9,2,5,6,5.0986536128232
9,2,5,7,5.370841181158676
9,2,5,8,8.989543682200495
9,2,5,9,9.631638461215795
9,2,5,10,9.70731986813119
10,9,3,5,12.450249863820558
