['k_value', 'p_value', 'paa_value', 'max_level', 'ncp']
[9, 4, 5, 10, 218.87498705888373]
[10, 4, 3, 5, 191.6210790682229]
[10, 4, 3, 6, 192.39743471031943]
[10, 4, 3, 7, 230.5825042153215]
[10, 4, 3, 8, 243.8798323459779]
[10, 4, 3, 9, 255.70856973707788]
[10, 4, 3, 10, 260.84954506211903]
[10, 4, 4, 5, 249.06673413476798]
[10, 4, 4, 6, 249.5774040455017]
[10, 4, 4, 7, 262.22202057023827]
[10, 4, 4, 8, 261.56277105033365]
[10, 4, 4, 9, 265.32213680401213]
[10, 4, 4, 10, 264.5201348018067]
[10, 4, 5, 5, 218.18487246893412]
[10, 4, 5, 6, 225.64752050256286]
[10, 4, 5, 7, 225.9262235566154]
[10, 4, 5, 8, 223.3402436704259]
[10, 4, 5, 9, 224.195659345077]
[10, 4, 5, 10, 224.63271779533537]
[6, 5, 3, 5, 177.84726832894543]
[6, 5, 3, 6, 180.68782820468167]
[6, 5, 3, 7, 223.92606950773538]
[6, 5, 3, 8, 227.48956561027552]
[6, 5, 3, 9, 249.9966717563849]
[6, 5, 3, 10, 249.56585494804315]
[6, 5, 4, 5, 251.17500080303296]
[6, 5, 4, 6, 244.84982664644866]
[6, 5, 4, 7, 246.82120756864086]
[6, 5, 4, 8, 244.38107661966853]
[6, 5, 4, 9, 244.4945795637503]
[6, 5, 4, 10, 244.65142511199136]
[6, 5, 5, 5, 221.1484006809608]
[6, 5, 5, 6, 216.01695335009273]
[6, 5, 5, 7, 218.62004821183837]
[6, 5, 5, 8, 216.64906674939996]
[6, 5, 5, 9, 217.79866137924955]
[6, 5, 5, 10, 213.47685160392172]
[7, 5, 3, 5, 189.39923904672472]
[7, 5, 3, 6, 190.73347653338573]
[7, 5, 3, 7, 228.34112226624987]
[7, 5, 3, 8, 239.10365211169287]
[7, 5, 3, 9, 265.45844692755065]
[7, 5, 3, 10, 261.60455332237564]
[7, 5, 4, 5, 249.12202263089645]
[7, 5, 4, 6, 253.45563038013645]
[7, 5, 4, 7, 255.02663626851262]
[7, 5, 4, 8, 254.03912759704738]
[7, 5, 4, 9, 254.45098285331687]
[7, 5, 4, 10, 255.2816481704423]
[7, 5, 5, 5, 221.74006024965226]
[7, 5, 5, 6, 220.6389098345078]
[7, 5, 5, 7, 221.21293563418598]
[7, 5, 5, 8, 222.39655641065426]
[7, 5, 5, 9, 224.2364149344143]
[7, 5, 5, 10, 224.29550020872037]
[8, 5, 3, 5, 193.40571325413646]
[8, 5, 3, 6, 195.92264664872343]
[8, 5, 3, 7, 230.96646121683892]
[8, 5, 3, 8, 248.02727164189957]
[8, 5, 3, 9, 264.696732080238]
[8, 5, 3, 10, 273.3482900948788]
[8, 5, 4, 5, 260.62514756425134]
[8, 5, 4, 6, 260.18088457551323]
[8, 5, 4, 7, 263.3335981395917]
[8, 5, 4, 8, 257.5685925587322]
[8, 5, 4, 9, 261.4639457519655]
[8, 5, 4, 10, 263.13675711354415]
[8, 5, 5, 5, 227.16276722712274]
[8, 5, 5, 6, 231.682880555356]
[8, 5, 5, 7, 228.04405532650838]
[8, 5, 5, 8, 229.89228630862831]
[8, 5, 5, 9, 227.55229908658654]
[8, 5, 5, 10, 226.48636354593816]
[9, 5, 3, 5, 206.18900066861676]
[9, 5, 3, 6, 193.71295073575507]
[9, 5, 3, 7, 238.93706392026823]
[9, 5, 3, 8, 245.92834301205943]
[9, 5, 3, 9, 269.8144258248393]
[9, 5, 3, 10, 280.1409789497118]
[9, 5, 4, 5, 263.55442696226777]
[9, 5, 4, 6, 259.6896134194111]
[9, 5, 4, 7, 264.354172571886]
[9, 5, 4, 8, 261.7846149430959]
[9, 5, 4, 9, 260.64213058522336]
[9, 5, 4, 10, 260.54879053266734]
[9, 5, 5, 5, 235.9091636843946]
[9, 5, 5, 6, 236.5909264912104]
[9, 5, 5, 7, 232.27883088811632]
